artist,genre,album,track,popularity,release_year,duration_ms,tempo,key,mode,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
The Clash,punk,The Future Is Unwritten,White Riot - Alternate Demo Mix,3,1961,142067,103.262001,9,1,0.42899999,0.823000014,-5.781000137,0.128999993,0.078900002,0.814999998,0.432999998,0.335999995
The Clash,punk,The Future Is Unwritten,I'm So Bored with the U.S.A.,2,1961,140787,204.1340027,4,1,0.245000005,0.948000014,-6.744999886,0.128999993,0.172999993,0.00213,0.47299999,0.221000001
The Clash,punk,The Future Is Unwritten,Armagideon Time,4,1961,226640,168.1459961,6,0,0.474000007,0.526000023,-8.55700016,0.149000004,0.0109,2.57E-06,0.078900002,0.449000001
The Vibrators,punk,Put On Your Best Dress - Sonia Pottinger's Ska & Rock Steady 1966-67 (Expanded Version),Move Up (Festival 1967) (with The Fugitives),14,1966,164040,81.36399841,5,1,0.666999996,0.340000004,-11.59799957,0.030099999,0.916000009,0.340000004,0.114,0.768000007
Ramones,punk,Blitzkrieg Bop,Blitzkrieg Bop,9,1976,115883,123.4339981,9,1,0.532000005,0.954999983,-10.0170002,0.089599997,0.00539,0.00138,0.98299998,0.811999977
Sex Pistols,punk,Live In The UK 1976,Anarchy In The UK - Live,1,1976,219600,133.4909973,11,1,0.204999998,0.865999997,-5.959000111,0.077399999,1.1E-05,0.037799999,0.967000008,0.172999993
Sex Pistols,punk,Live In The UK 1976,(I'm Not Your) Steppin' Stone - Live,1,1976,201373,137.2949982,4,1,0.192000002,0.926999986,-8.022000313,0.129999995,0.000164,0.147,0.583000004,0.195999995
Ramones,punk,Ramones (40th Anniversary Deluxe Edition; 2016 Remaster),Blitzkrieg Bop - 2016 Remaster,71,1976,134467,176.701004,9,1,0.38499999,0.782999992,-2.532999992,0.232999995,0.000269,0.469999999,0.108000003,0.90200001
The Damned,punk,New Rose,New Rose,11,1976,165888,169.7969971,4,1,0.209000006,0.903999984,-9.366999626,0.068400003,0.760999978,0.00037,0.448000014,0.726999998
Ramones,punk,Ramones (2017 Remaster),"Today Your Love, Tomorrow the World - 2016 Remaster",30,1976,132667,179.7920074,9,1,0.122000001,0.916999996,-3.279999971,0.073799998,0.00012,0.907999992,0.379999995,0.351000011
Ramones,punk,Ramones (2017 Remaster),Listen to My Heart - 2016 Remaster,31,1976,118653,179.2089996,9,1,0.294999987,0.898999989,-1.73300004,0.096500002,0.000715,0.000253,0.363999993,0.825999975
Ramones,punk,Ramones (2017 Remaster),53rd & 3rd - 2016 Remaster,31,1976,141333,135.1309967,9,1,0.395000011,0.883000016,-1.120000005,0.045200001,0.000711,0.0517,0.076700002,0.860000014
Ramones,punk,Ramones (2017 Remaster),Let's Dance - 2016 Remaster,30,1976,111867,182.6759949,7,1,0.321999997,0.720000029,-2.786999941,0.172999993,0.000157,0.00766,0.181999996,0.838999987
Ramones,punk,Ramones (2017 Remaster),I Don't Wanna Walk Around with You - 2016 Remaster,28,1976,102813,178.9550018,2,1,0.305999994,0.925999999,-1.488000035,0.156000003,0.0101,0.772000015,0.122000001,0.699999988
Ramones,punk,Ramones (2017 Remaster),Beat on the Brat - 2016 Remaster,37,1976,151960,156.8589935,4,1,0.481000006,0.879999995,-1.10800004,0.175999999,0.00305,0.64200002,0.129999995,0.961000025
Ramones,punk,Ramones (2017 Remaster),Judy Is a Punk - 2016 Remaster,36,1976,92480,179.5509949,3,1,0.231999993,0.865999997,-1.379999995,0.050299998,0.0801,0.096199997,0.234999999,0.722000003
Ramones,punk,Ramones (2017 Remaster),I Wanna Be Your Boyfriend - 2016 Remaster,33,1976,144307,133.6940002,4,1,0.501999974,0.837000012,-3.184000015,0.0288,0.00211,1.38E-05,0.119999997,0.676999986
Ramones,punk,Ramones (2017 Remaster),Chain Saw - 2016 Remaster,31,1976,116413,183.0670013,9,1,0.287,0.935000002,-1.843999982,0.135000005,0.00595,0,0.463999987,0.708999991
Ramones,punk,Ramones (2017 Remaster),Now I Wanna Sniff Some Glue - 2016 Remaster,32,1976,95973,176.8170013,9,0,0.218999997,0.684000015,-2.661000013,0.073899999,0.000423,0.000421,0.177000001,0.709999979
