Name,Neighborhood,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews
Sera’s Ramen Enclave,Highland,4.3,426,?,?
Jinya Ramen,Union Station,4.4,799,4.9,15024
Sushi Den,Platt Park,4.4,2500,4.7,4963
Domo,Licoln Park,3.6,1200,4.4,2945
Chubby Cattle,Speer,4.2,1600,4.5,2564
Uchi,Lodo,4.5,1100,4.6,2523
Menya Noodle Bar,LoDo,4,849,4.4,2027
Ace Eat Serve,LoDo,3.5,1000,4.3,1858
ChoLon Modern Asian,Lodo,4.1,1500,4.4,1855
Colorado Sake ,Five Points,4.6,272,4.9,1781
Gyu-Kaku Japanese BBQ,LoDo,4.3,495,4.7,1655
Uncle ,Highlands,4,1600,4.5,1619
Mizu Izakaya,Highland,4.2,850,4.4,1522
Sukiya Ramen,Greenwood Village,4.4,543,4.7,1476
Go Fish,Baker,4,903,4.5,1437
Tokio,Five Points,4.1,562,4.5,1395
Bronze Empire,Cherry Creek,4.2,419,4.5,1263
Izakaya Den,Platt Park,4.4,654,4.7,1180
Temaki Den,Five Points,4.7,364,4.8,1162
Chuey Fu's,Lincoln Park,3.8,225,4.4,1116
Menya Ramen and Poke,LoDo,4,172,4.5,875
Ramen Star,Highland,4,273,4.5,869
Yummy Hot Pot,Baker,4.4,326,4.5,863
Cupbop - Korean BBQ in a Cup,Highland,3.2,75,4.5,842
Miyako Ramen Spot,Englewood,4,256,4.4,796
Corner Ramen,Five Points,4.2,278,4.5,777
Kikis Japanese Casual Dining,Wash Park,4,438,4.6,776
Wellness Sushi,City Park,4.5,193,4.7,768
Okinawa Japanese Cuisine,City Park,3.9,455,4.3,742
Uncle,Wash Park,4.2,365,4.6,728
Neko Ramen and Rice,Park Hill,4.5,176,4.7,714
Menya Sushi Bar,Greenwood Village,4,278,4.4,704
Pho & Bar,City Park,4.6,293,4.6,686
Obento,LoDo,4.4,42,4.2,678
Tatsu Izakaya,University Park,4.5,363,4.6,667
East Tao,Cap Hill,3.6,185,4.3,664
Rocky Yama Sushi,Lincoln Park,4.7,289,4.7,656
Taki Sushi,Speer,4.3,667,4.6,653
V Revolution,Englewood,4.5,228,4.6,652
OTOTO,Wash Park,4.3,290,4.6,636
Gyu-Kaku,Cherry Creek,4.3,495,4.5,605
Gyu-Kaku Japanese BBQ,Cherry Creek,4.5,203,4.5,605
Fortune Wok To Table,Cherry Creek,4.5,478,4.6,599
Ginger Pig,Highlands,4.2,299,4.4,575
Little Gingko Asian Cafe,Cap Hill,4.2,205,4.7,564
Izu Sushi,City Park,4.1,403,4.3,531
Chopstickers,LoDo,4.3,214,4.5,506
Poke Club,LoDo,4.5,171,4.7,488
Nomi Thai Ramen,Cherry Creek,4.9,50,4.9,468
Sukiya Ramen,Cap Hill,4.4,140,4.6,458
Kawa Ni,Highland,4.6,184,4.6,437
Kyoto Ramen,LoDo,4,181,4.3,436
Nami Ramen and Poke,Englewood,4.7,144,4.8,416
9 Thai Restaurant,City Park,3.9,246,4.3,404
Oishii Ramen,LoDo,3.8,64,4.5,395
Glo Noodle House,Highland,4.5,183,4.7,393
Mizuumi Ramen and Sushi,Edgewater,3.9,117,4.3,358
Hana Matsuri Sushi,Glendale,4.6,126,4.7,356
Com Nha Kitchen and Bar,Federal,4.5,61,4.8,348
Asuka,City Park,4.2,138,4.3,345
Yuki,Highland,4.3,81,4.6,307
Sakura House,LoDo,4,158,4.5,302
Dragonfly Noodle,LoDo,3.7,43,4.3,280
Asuka Ramen and Poke,Greenwood Village,4.3,133,4.4,252
Asuka Ramen and Poke,Edgewater,4.2,112,4.5,244
Mecha Noodle Bar,Five Points,4.3,61,4.6,238
Asuka Ramen and Poke,Englewood,4.7,51,4.7,177
Tasty Pot,Highland,4.7,70,4.8,162
Mugi Ramen and Poke,Edgewater,3.6,48,4,154
Sukiya Ramen,Platt Park,4.3,23,4.6,146
Dumplin',Highland,4.6,32,4.3,106
Ebisu Ramen and Sushi,University Park,4.4,48,4.4,73
Sushi Kuro,Five Points,4.3,23,4.2,72
Mizu Izakaya,DIA,3,34,3.5,68
Mugi Ramen and Poke,Park Hill,3.6,48,5,50
